epoch,loss,accuracy,precision,recall,f1,lr
1,0.5594208522871429,0.8564705882352941,0.8641655886157826,0.8954423592493298,0.879526003949967,0.001
2,0.20394267983296338,0.9129411764705883,0.9250334672021419,0.9262734584450402,0.9256530475552579,0.001
3,0.15633469635511146,0.9380392156862745,0.9537414965986395,0.9396782841823056,0.9466576637407157,0.001
4,0.13052096659061954,0.9419607843137255,0.9421052631578948,0.9597855227882037,0.950863213811421,0.001
5,0.1040484924994263,0.9623529411764706,0.9728997289972899,0.9624664879356568,0.967654986522911,0.001
6,0.07671675391933497,0.9647058823529412,0.9654714475431607,0.9745308310991957,0.9699799866577719,0.001
7,0.10008301856471043,0.9654901960784313,0.9730458221024259,0.967828418230563,0.9704301075268817,0.001
8,0.06848746088789959,0.9733333333333334,0.9772117962466488,0.9772117962466488,0.9772117962466488,0.001
9,0.09755812184483398,0.9662745098039216,0.9667994687915007,0.9758713136729222,0.971314209472982,0.001
10,0.09307333371218512,0.971764705882353,0.9745989304812834,0.9772117962466488,0.9759036144578314,0.001
11,0.0630842966075037,0.9756862745098039,0.9785809906291834,0.9798927613941019,0.9792364367046216,0.0001
12,0.06272626435055452,0.9772549019607844,0.9799196787148594,0.9812332439678284,0.9805760214333556,0.0001
13,0.044786005499316196,0.984313725490196,0.9852941176470589,0.9879356568364611,0.9866131191432396,0.0001
14,0.04783182580827498,0.9803921568627451,0.9813084112149533,0.985254691689008,0.9832775919732442,0.0001
15,0.054178856722280094,0.9796078431372549,0.9812834224598931,0.9839142091152815,0.9825970548862115,0.0001
16,0.04638778702301138,0.9835294117647059,0.9826897470039947,0.9892761394101877,0.9859719438877755,0.0001
17,0.04147752125254449,0.9890196078431372,0.9906166219839142,0.9906166219839142,0.9906166219839142,0.0001
18,0.03998022408169859,0.9898039215686274,0.9919463087248322,0.9906166219839142,0.9912810194500336,0.0001
19,0.037611224551995594,0.9874509803921568,0.9853723404255319,0.9932975871313673,0.9893190921228304,0.0001
20,0.03644960050197209,0.9890196078431372,0.9893048128342246,0.9919571045576407,0.9906291834002677,0.0001
21,0.040049753517789,0.9850980392156863,0.9866131191432396,0.9879356568364611,0.9872739450770261,0.0001
22,0.030280855452897503,0.9882352941176471,0.9892904953145917,0.9906166219839142,0.9899531145344943,0.0001
23,0.0434825440686123,0.9858823529411764,0.9905660377358491,0.985254691689008,0.9879032258064516,0.0001
24,0.029345200761750925,0.9866666666666667,0.986648865153538,0.9906166219839142,0.988628762541806,0.0001
25,0.03224415730392816,0.9890196078431372,0.9906166219839142,0.9906166219839142,0.9906166219839142,0.0001
26,0.039319640581003006,0.9898039215686274,0.9906291834002677,0.9919571045576407,0.9912926992632284,1e-05
27,0.03532610141179141,0.9882352941176471,0.9866844207723036,0.9932975871313673,0.9899799599198397,1e-05
28,0.028379198400413287,0.9874509803921568,0.9905913978494624,0.9879356568364611,0.9892617449664429,1e-05
29,0.042900854471851796,0.9866666666666667,0.9840637450199203,0.9932975871313673,0.9886591060707138,1e-05
30,0.03413376315113376,0.9913725490196078,0.9906542056074766,0.9946380697050938,0.9926421404682274,1e-05
